Text,Sentiment
I love this product,positive
This is an excellent movie,positive
Such a good experience,positive
The food was great,positive
What an awesome place,positive
Absolutely fantastic performance,positive
I am very happy with the results,positive
Joyful moments are the best,positive
I had a great time,positive
The service was excellent,positive
What a good day,positive
Love the taste of this,positive
The event was amazing,positive
I feel so happy today,positive
This is a positive change,positive
The team played excellently,positive
Her performance was fantastic,positive
We had a great vacation,positive
My day was good,positive
I love sunny weather,positive
Awesome vibes all around,positive
The staff was very friendly and good,positive
I am satisfied and happy,positive
An amazing book to read,positive
She gave a positive response,positive
Good results from the experiment,positive
He is in a good mood,positive
Their customer service is great,positive
This product works great,positive
The food tastes amazing,positive
A truly fantastic job,positive
My weekend was excellent,positive
I'm feeling very positive,positive
Great feedback from the users,positive
The show was awesome,positive
I hate the service,negative
The food was awful,negative
The weather is bad today,negative
What a terrible situation,negative
I am sad about the result,negative
The product is of poor quality,negative
That was the worst experience,negative
I feel so bad right now,negative
The movie was horrible,negative
Absolutely disgusting behavior,negative
I had a terrible day,negative
The staff was rude and bad,negative
A sad ending to the story,negative
His attitude is awful,negative
I regret buying this,negative
Everything went wrong,negative
That place was a disaster,negative
The experience was disappointing,negative
The food is terrible,negative
Nothing but negative energy,negative
I am very upset,negative
My expectations were not met,negative
It was a bad decision,negative
Poor communication by the team,negative
I feel horrible,negative
Totally unhappy with this,negative
This is a negative impact,negative
I am dissatisfied with the service,negative
The event was a total failure,negative
Worst trip ever,negative
The product broke after one use,negative
Terrible customer support,negative
I had a bad dream,negative
Not a good feeling at all,negative
Their response was negative,negative
